timestamp;lugar;cod_fabrica;cod_venta;descripcion;precio
2025-10-17 11:52:16;A01-Vivo Los Trapenses-Paz;9103;BI6502FG;Jersey 50% Cotone 50% Acrilico Made In Italy;32000
2025-10-17 11:52:50;A01-Vivo Los Trapenses-Paz;9103;BI6502FG;Jersey 50% Cotone 50% Acrilico Made In Italy;32000
2025-10-17 11:53:31;A01-Vivo Los Trapenses-Paz;9103;BI6502ZM;Jersey 50% Cotone 50% Acrilico Made In Italy;32000
2025-10-17 11:54:05;A01-Vivo Los Trapenses-Paz;9125;BI6503CC;Jersey 50% Cotone 50% Acrilico Made In Italy;30000
2025-10-17 11:55:10;A01-Vivo Los Trapenses-Paz;9125;BI6503CC;Jersey 50% Cotone 50% Acrilico Made In Italy;30000
2025-10-17 11:55:52;A01-Vivo Los Trapenses-Paz;9125;BI6503MG;Jersey 50% Cotone 50% Acrilico Made In Italy;30000
2025-10-17 11:56:13;A01-Vivo Los Trapenses-Paz;9125;BI6503ZM;Jersey 50% Cotone 50% Acrilico Made In iiiiiitaly;30000
2025-10-17 11:56:51;A01-Vivo Los Trapenses-Paz;8512;BI6514BG;Chaqueta 100% Lino Made In Italy;45000
2025-10-17 11:57:13;A01-Vivo Los Trapenses-Paz;8512;BI6514CL;Chaqueta 100% Lino Made In Italy;45000
2025-10-17 11:57:40;A01-Vivo Los Trapenses-Paz;8512;BI6514NG;Chaqueta 100% Lino Made In Italy;45000
2025-10-17 11:58:13;A01-Vivo Los Trapenses-Paz;8512;BI6514RS;Chaqueta 100% Lino Made In Italy;45000
2025-10-17 11:58:41;A01-Vivo Los Trapenses-Paz;8440;BI6515BD;Camisa Lino Sin Bolsillo 100% Lino Made In Italy;41000
2025-10-17 11:59:08;A01-Vivo Los Trapenses-Paz;994079;BI6519FG;Camisa 100% Lino Made In Italy;45000
2025-10-17 12:00:00;A01-Vivo Los Trapenses-Paz;5030;BI6523BL;Camiseta 100% Lino Made In Italy;32000
2025-10-17 12:01:23;A01-Vivo Los Trapenses-Paz;5030;BI6523ZM;Camiseta 100% Lino Made In Italy;32000
2025-10-17 12:45:26;A01-Vivo Los Trapenses-Paz;85120;BI6527MG;Vestido Bolsillo Tres Botones Manga Corta 100% Lino Made In Italy;43000
2025-10-17 12:46:00;A01-Vivo Los Trapenses-Paz;3977;BI6529TJ;Vestido Cuello Solapa Tabla Medio 100% Lino Made In Italy;45000
2025-10-17 12:46:25;A01-Vivo Los Trapenses-Paz;8015;BI6530MG;Falda Lisa Recta 100% Lino Made In Italy;42000
2025-10-17 12:46:52;A01-Vivo Los Trapenses-Paz;11180;BI6533MG;Falda Larga Elasticada Cintura Piso 100% Lino Made In Italy;44000
2025-10-17 12:47:23;A01-Vivo Los Trapenses-Paz;9921;BI6536MG;Blusa Escote V Manga Corta Con Vuelo 100% Lino Made In Italy;30000
2025-10-17 12:47:55;A01-Vivo Los Trapenses-Paz;2646;BI6552RS;Blusa Camisera Manga 3/4  100% Lino Made In Italy;35000
2025-10-17 12:48:22;A01-Vivo Los Trapenses-Paz;16670;BI6559BL;Blusa Sin Mangas 100%Lino Made In Italy;30000
2025-10-17 12:48:48;A01-Vivo Los Trapenses-Paz;12832;BI6564BG;Falda Pretina Ancha Lino 100% Lino Made In Italy;44000
2025-10-17 12:49:16;A01-Vivo Los Trapenses-Paz;7801;BI6570CL;Polera Prelavada 50% Lino 50% Comton Made In Italy;30000
2025-10-17 12:49:41;A01-Vivo Los Trapenses-Paz;7801;BI6570FG;Polera Prelavada 50% Lino 50% Comton Made In Italy;30000
2025-10-17 12:50:04;A01-Vivo Los Trapenses-Paz;7801;BI6570RS;Polera Prelavada 50% Lino 50% Comton Made In Italy;30000
2025-10-17 12:50:37;A01-Vivo Los Trapenses-Paz;2648;BI6574FG;Vestido Camisero Largo 100% Lino Made In Italy;53000
2025-10-17 12:50:58;A01-Vivo Los Trapenses-Paz;2648;BI6574MG;Vestido Camisero Largo 100% Lino Made In iiiitaly;53000
2025-10-17 12:51:26;A01-Vivo Los Trapenses-Paz;8451;BI6577TJ;Vestido  Largo Escote V Manga Corta 100% Lino Made In Italy;50000
2025-10-17 12:51:51;A01-Vivo Los Trapenses-Paz;10615;BI6581MG;Blusa Eslasticada Manga Larga Vuelo 100% Coton Made In Italy;35000
2025-10-17 19:52:27;A01-Vivo Los Trapenses-Paz;9125;BI6503MG;Jersey 50% Cotone 50% Acrilico Made In Italy;30000
2025-10-17 19:52:54;A01-Vivo Los Trapenses-Paz;8512;BI6514FG;Chaqueta 100% Lino Made In Italy;45000
2025-10-17 19:53:16;A01-Vivo Los Trapenses-Paz;8512;BI6514TJ;Chaqueta 100% Lino Made In Italy;45000
2025-10-17 19:53:43;A01-Vivo Los Trapenses-Paz;100280;BI6543BD;Vestido Cuello Ancho Redondo Mangas 3/4 100% Lino Made In Italy;52000
2025-10-17 19:54:00;A01-Vivo Los Trapenses-Paz;100280;BI6543TJ;Vestido Cuello Ancho Redondo Mangas 3/4 100% Lino Made In Italy;52000
2025-10-17 19:54:23;A01-Vivo Los Trapenses-Paz;12832;BI6564BD;Falda Pretina Ancha Lino 100% Lino Made In Italy;44000
2025-10-17 19:54:39;A01-Vivo Los Trapenses-Paz;12832;BI6564FG;Falda Pretina Ancha Lino 100% Lino Made In Italy;44000
2025-10-17 19:54:52;A01-Vivo Los Trapenses-Paz;12832;BI6564MG;Falda Pretina Ancha Lino 100% Lino Made In Italy;44000
2025-10-17 19:55:07;A01-Vivo Los Trapenses-Paz;7801;BI6570BL;Polera Prelavada 50% Lino 50% Comton Made In Italy;30000
